Customer_ID,Name,Signup_Date,City,Customer_Type
1000,Priya Joshi,08-04-2021,Nagpur,New
1001,Neha Joshi,03-09-2021,Bangalore,Repeat
1002,Rohit Das,20-11-2025,Gurugram,new
1003,Pooja Patel,25-09-2020,Hyderabad,new
1004,Rohit Kumar,26-12-2020,Surat,
1005,Sneha Patel,18-10-2024,Udaipur,
1006,Neha Gupta,15-04-2023,Jaipur,New
1007,Arjun Joshi,21-08-2025,Surat,repeat
1008,Rahul Yadav,02-03-2024,Nagpur,New
1009,Pooja Kumar,23-04-2021,Bhubaneswar,
1010,Pooja Gupta,21-02-2021,Bhubaneswar,
1011,Sneha Joshi,24-09-2022,Nagpur,new
1012,Rahul Mehta,28-03-2025,Noida,New
1013,Anjali Singh,21-12-2022,Delhi,new
1014,Vikas Sharma,10-11-2024,Jaipur,New
1015,Rahul Singh,12-04-2024,Raipur,New
1016,Neha Kumar,06-01-2024,Pune,Repeat
1017,Priya Verma,03-02-2025,Bhubaneswar,
1018,Sneha Mehta,27-10-2025,Raipur,Repeat
1019,Amit Kumar,15-09-2023,Gurugram,New
1020,Priya Patel,15-07-2021,Udaipur,new
1021,Vikas Gupta,26-02-2023,Udaipur,New
1022,Amit Patel,29-01-2020,Kolkata,New
1023,Anjali Patel,14-07-2024,Lucknow,New
1024,Rohit Kumar,30-05-2025,Surat,Repeat
1025,Anjali Singh,16-03-2020,Bangalore,new
1026,Vikas Singh,08-04-2021,Mumbai,New
1027,Arjun Patel,22-10-2025,Raipur,New
1028,Priya Mehta,09-06-2025,Indore,repeat
1029,Neha Verma,02-12-2022,Bhubaneswar,new
1030,Anjali Verma,05-10-2021,Chennai,repeat
1031,Amit Kumar,09-02-2022,Gurugram,repeat
1032,Rahul Patel,10-03-2023,Chennai,New
1033,Anjali Mehta,15-02-2022,Gurugram,Repeat
1034,Sneha Gupta,27-06-2025,Chennai,New
1035,Neha Mehta,21-08-2021,Gurugram,
1036,Pooja Yadav,25-05-2022,Jaipur,repeat
1037,Pooja Yadav,09-12-2023,Nagpur,Repeat
1038,Rohit Singh,11-12-2025,Hyderabad,Repeat
1039,Vikas Yadav,24-02-2020,Udaipur,
1040,Arjun Mehta,14-09-2025,Lucknow,Repeat
1041,Anjali Patel,30-03-2021,Lucknow,New
1042,Anjali Verma,13-04-2020,Ahmedabad,New
1043,Sneha Verma,19-04-2023,Kolkata,new
1044,Neha Sharma,21-07-2025,Mumbai,new
1045,Pooja Mehta,07-08-2025,Bhubaneswar,new
1046,Rahul Joshi,02-07-2022,Delhi,new
1047,Rohit Yadav,03-04-2024,Bangalore,New
1048,Neha Gupta,05-11-2025,Chennai,new
1049,Rahul Yadav,25-07-2020,Chennai,repeat
1050,Pooja Sharma,31-08-2022,Noida,New
1051,Rohit Das,28-08-2022,Bangalore,New
1052,Arjun Yadav,27-08-2024,Raipur,new
1053,Vikas Mehta,24-01-2022,Jaipur,Repeat
1054,Sneha Das,09-08-2025,Delhi,Repeat
1055,Amit Patel,25-08-2020,Udaipur,
1056,Rohit Joshi,20-12-2021,Bangalore,repeat
1057,Anjali Sharma,08-10-2022,Gurugram,
1058,Amit Yadav,24-08-2024,Raipur,New
1059,Pooja Joshi,26-06-2020,Bhubaneswar,new
1060,Sneha Singh,25-06-2024,Noida,Repeat
1061,Neha Das,05-09-2020,Lucknow,new
1062,Amit Sharma,25-05-2025,Gurugram,new
1063,Neha Sharma,21-03-2023,Gurugram,
1064,Amit Verma,20-08-2025,Mumbai,New
1065,Priya Mehta,25-08-2023,Bhubaneswar,New
1066,Amit Kumar,09-07-2023,Udaipur,repeat
1067,Vikas Gupta,20-03-2024,Kolkata,New
1068,Rohit Singh,11-12-2024,Bhubaneswar,New
1069,Rahul Mehta,01-09-2021,Noida,repeat
1070,Rohit Patel,28-10-2020,Nagpur,Repeat
1071,Rahul Patel,26-04-2025,Ahmedabad,Repeat
1072,Priya Kumar,28-12-2022,Raipur,repeat
1073,Sneha Mehta,19-02-2022,Indore,Repeat
1074,Priya Verma,21-03-2024,Lucknow,Repeat
1075,Rahul Joshi,29-08-2023,Nagpur,repeat
1076,Arjun Singh,18-01-2024,Mumbai,
1077,Rahul Verma,15-05-2025,Bhubaneswar,New
1078,Sneha Gupta,08-02-2021,Udaipur,repeat
1079,Priya Verma,05-11-2022,Lucknow,repeat
1080,Arjun Verma,21-08-2025,Surat,Repeat
1081,Arjun Singh,07-11-2023,Chennai,New
1082,Priya Sharma,26-11-2023,Mumbai,repeat
1083,Rohit Sharma,24-08-2021,Hyderabad,New
1084,Rahul Patel,26-12-2021,Surat,Repeat
1085,Neha Gupta,24-01-2025,Bhubaneswar,repeat
1086,Rahul Patel,06-10-2021,Delhi,New
1087,Neha Yadav,28-07-2020,Bhubaneswar,
1088,Neha Kumar,21-05-2025,Mumbai,New
1089,Anjali Singh,27-11-2020,Indore,Repeat
1090,Priya Sharma,25-04-2024,Delhi,repeat
1091,Pooja Das,21-01-2024,Mumbai,Repeat
1092,Vikas Mehta,28-12-2023,Noida,
1093,Vikas Mehta,18-03-2022,Jaipur,repeat
1094,Pooja Gupta,29-11-2020,Bhubaneswar,Repeat
1095,Vikas Joshi,17-11-2020,Indore,
1096,Sneha Das,20-08-2024,Bhubaneswar,
1097,Sneha Kumar,24-02-2023,Chennai,Repeat
1098,Anjali Das,07-12-2020,Noida,
1099,Neha Kumar,16-08-2021,Hyderabad,new
1100,Anjali Singh,22-11-2020,Nagpur,Repeat
1101,Pooja Singh,23-05-2021,Bangalore,
1102,Rahul Joshi,15-02-2020,Delhi,New
1103,Vikas Das,15-01-2020,Surat,new
1104,Amit Joshi,02-03-2025,Raipur,repeat
1105,Rahul Singh,08-02-2024,Raipur,repeat
1106,Arjun Kumar,07-06-2020,Kolkata,Repeat
1107,Rohit Sharma,26-08-2022,Kolkata,Repeat
1108,Sneha Kumar,04-09-2024,Ahmedabad,new
1109,Vikas Sharma,06-09-2023,Chennai,
1110,Pooja Singh,20-01-2022,Indore,repeat
1111,Vikas Joshi,21-02-2024,Delhi,new
1112,Amit Patel,16-07-2025,Gurugram,Repeat
1113,Anjali Das,14-10-2024,Hyderabad,New
1114,Pooja Verma,31-05-2020,Gurugram,new
1115,Sneha Verma,18-11-2025,Kolkata,new
1116,Amit Joshi,07-05-2021,Raipur,Repeat
1117,Vikas Singh,27-03-2024,Surat,repeat
1118,Vikas Kumar,02-04-2022,Chennai,New
1119,Pooja Joshi,09-04-2024,Raipur,New
1120,Amit Verma,25-01-2024,Delhi,repeat
1121,Sneha Gupta,19-05-2021,Chennai,Repeat
1122,Rohit Yadav,17-05-2021,Hyderabad,
1123,Sneha Patel,31-03-2022,Gurugram,repeat
1124,Rahul Das,05-01-2021,Pune,New
1125,Anjali Kumar,20-03-2021,Chennai,New
1126,Neha Verma,18-12-2022,Jaipur,Repeat
1127,Sneha Verma,31-10-2022,Hyderabad,
1128,Pooja Mehta,23-01-2023,Pune,repeat
1129,Vikas Mehta,12-01-2024,Ahmedabad,New
1130,Pooja Patel,06-10-2025,Udaipur,new
1131,Sneha Sharma,30-04-2025,Bangalore,New
1132,Rahul Sharma,10-12-2021,Lucknow,New
1133,Anjali Joshi,31-12-2021,Ahmedabad,repeat
1134,Rahul Verma,19-09-2021,Jaipur,repeat
1135,Rohit Kumar,04-08-2020,Ahmedabad,new
1136,Anjali Mehta,15-02-2022,Noida,New
1137,Neha Yadav,18-06-2020,Kolkata,repeat
1138,Neha Mehta,02-02-2025,Jaipur,
1139,Vikas Sharma,28-08-2023,Pune,repeat
1140,Arjun Singh,12-05-2021,Nagpur,New
1141,Priya Das,10-08-2021,Hyderabad,New
1142,Vikas Yadav,17-10-2021,Ahmedabad,repeat
1143,Pooja Yadav,16-10-2022,Noida,Repeat
1144,Anjali Singh,11-08-2021,Ahmedabad,New
